ts,seq,i_ph_max,i_n,thd_i_mean,t_low_c,td_margin_k,worst_point,worst_dt_c,max_k_ratio,min_ttl_h,target_dt_c,target_k_ratio,q_any,dq_codes,pd_pps,risk_score,risk_mode,alarms
2026-07-06T00:15:00+00:00,1,637.6,108,7.17,36.75,8.06,DSYA6_L1,1.86,1,,1.51,,0,,0,0,HYP-NORMAL,
2026-07-06T00:30:00+00:00,2,623.5,106,7.19,36.6,7.97,DSYA4_L1,2.43,1,,1.79,,0,,0,0,HYP-NORMAL,
2026-07-06T00:45:00+00:00,3,612.1,104.4,7.21,36.47,7.88,DSYA4_L1,2.1,1,,1.75,,0,,0,0,HYP-NORMAL,
2026-07-06T01:00:00+00:00,4,593.4,101.4,7.24,36.35,7.79,DSYA3_L1,2.17,1,,1.57,1,0,,0,0,HYP-NORMAL,
2026-07-06T01:15:00+00:00,5,580.7,99.7,7.26,36.24,7.72,DSYA7_L1,2.21,1,,1.8,1,0,,0,0,HYP-NORMAL,
2026-07-06T01:30:00+00:00,6,569.6,98.1,7.28,36.14,7.66,DSYA7_L1,2.57,1,,1.34,1,0,,0,0,HYP-NORMAL,
2026-07-06T01:45:00+00:00,7,560.3,96.9,7.29,36.06,7.61,DSYA1_L1,2.19,1,,1.59,1,0,,0,0,HYP-NORMAL,
2026-07-06T02:00:00+00:00,8,550.3,95.1,7.31,35.99,7.56,DSYA7_L1,2.23,1,,1.85,1,0,,0,0,HYP-NORMAL,
2026-07-06T02:15:00+00:00,9,547.5,94.6,7.31,35.94,7.53,GIRIS_L1,2.15,1,,1.32,1,0,,0,0,HYP-NORMAL,
2026-07-06T02:30:00+00:00,10,545.6,94.3,7.32,35.9,7.5,DSYA2_L1,2.29,1,,1.83,1,0,,0,0,HYP-NORMAL,
2026-07-06T02:45:00+00:00,11,544.7,94.5,7.32,35.88,7.49,DSYA7_L1,2.24,1,,2.07,1,0,,0,0,HYP-NORMAL,
2026-07-06T03:00:00+00:00,12,540.8,94,7.33,35.87,7.48,DSYA3_L1,2.27,1,,1.39,1,0,,0,0,HYP-NORMAL,
2026-07-06T03:15:00+00:00,13,535,92.9,7.33,35.88,7.49,DSYA4_L1,2.32,1,,1.53,1,0,,0,0,HYP-NORMAL,
2026-07-06T03:30:00+00:00,14,532.5,92.5,7.34,35.9,7.5,DSYA7_L1,2.45,1,,1.75,1,0,,0,0,HYP-NORMAL,
2026-07-06T03:45:00+00:00,15,530.8,92.4,7.34,35.94,7.53,DSYA1_L1,2.34,1,,1.4,1,0,,0,0,HYP-NORMAL,
2026-07-06T04:00:00+00:00,16,532.9,92.7,7.34,35.99,7.56,DSYA3_L1,2.41,1,,1.47,1,0,,0,0,HYP-NORMAL,
2026-07-06T04:15:00+00:00,17,543.7,94.5,7.32,36.06,7.61,DSYA3_L1,2.47,1,,1.39,1,0,,0,0,HYP-NORMAL,
2026-07-06T04:30:00+00:00,18,550.1,95.2,7.31,36.14,7.66,DSYA3_L1,2.43,1,,1.93,1,0,,0,0,HYP-NORMAL,
2026-07-06T04:45:00+00:00,19,561.7,97,7.29,36.24,7.72,DSYA4_L1,2.44,1,,1.61,1,0,,0,0,HYP-NORMAL,
2026-07-06T05:00:00+00:00,20,571.7,98.2,7.27,36.35,7.79,DSYA2_L1,2.45,1,,2.11,1,0,,0,0,HYP-NORMAL,
2026-07-06T05:15:00+00:00,21,611.2,104.4,7.21,36.47,7.88,DSYA4_L1,2.69,1,,2.44,1,0,,0,0,HYP-NORMAL,
2026-07-06T05:30:00+00:00,22,651.8,110.9,7.14,36.6,7.97,DSYA4_L1,2.76,1,,2.44,1,0,,0,0,HYP-NORMAL,
2026-07-06T05:45:00+00:00,23,702.4,118.9,7.06,36.75,8.06,DSYA4_L1,3.27,1,,2.19,1,0,,0,0,HYP-NORMAL,
2026-07-06T06:00:00+00:00,24,737.9,123.1,7,36.91,8.17,DSYA4_L1,3.73,1,,2.93,1,0,,0,0,HYP-NORMAL,
2026-07-06T06:15:00+00:00,25,870.5,141.7,6.79,37.08,8.29,DSYA4_L1,3.65,1,,2.79,1,0,,0,0,HYP-NORMAL,
2026-07-06T06:30:00+00:00,26,1003,158,6.57,37.26,8.41,DSYA4_L1,4.87,1,,3.75,1,0,,0,0,HYP-NORMAL,
2026-07-06T06:45:00+00:00,27,1134,174.6,6.35,37.45,8.54,DSYA4_L1,6.06,1,,4.72,1,0,,0,0,HYP-NORMAL,
2026-07-06T07:00:00+00:00,28,1268,189.6,6.13,37.64,8.68,DSYA4_L1,7.98,1,,6.17,1,0,,0,0,HYP-NORMAL,
2026-07-06T07:15:00+00:00,29,1396,203.8,5.92,37.85,8.82,DSYA4_L1,9.22,1,,7.78,1,0,,0,0,HYP-NORMAL,
2026-07-06T07:30:00+00:00,30,1538,220.2,5.7,38.06,8.97,DSYA4_L1,11.29,1,,8.92,1,0,,0,0,HYP-NORMAL,
2026-07-06T07:45:00+00:00,31,1661,233.8,5.5,38.28,9.12,DSYA4_L1,14.06,1,,10.83,1,0,,0,0,HYP-NORMAL,
2026-07-06T08:00:00+00:00,32,1787,249.5,5.3,38.5,9.28,DSYA4_L1,16.03,1,,13.04,1,0,,0,0,HYP-NORMAL,ALM-PANEL-TEMP
2026-07-06T08:15:00+00:00,33,1834,254,5.22,38.73,9.45,DSYA4_L1,19.27,1,,15.08,1,0,,0,0,HYP-NORMAL,ALM-PANEL-TEMP
2026-07-06T08:30:00+00:00,34,1869,256.6,5.17,38.96,9.62,DSYA4_L1,20.88,1,,16.3,1,0,,0,0,HYP-NORMAL,ALM-PANEL-TEMP
2026-07-06T08:45:00+00:00,35,1909,259.9,5.1,39.19,9.79,DSYA4_L1,22.14,1,,17.43,1,0,,0,0,HYP-NORMAL,ALM-PANEL-TEMP
2026-07-06T09:00:00+00:00,36,1960,266.2,5.02,39.42,9.96,DSYA4_L1,23.02,1,,18.37,1,0,,0,0,HYP-NORMAL,ALM-PANEL-TEMP
2026-07-06T09:15:00+00:00,37,1957,265.4,5.02,39.65,10.14,DSYA4_L1,24.88,1,,19.51,1,0,,0,0,HYP-NORMAL,ALM-PANEL-TEMP
2026-07-06T09:30:00+00:00,38,1949,264.5,5.04,39.88,10.31,DSYA4_L1,25.91,1,,20.17,1,0,,0,0,HYP-NORMAL,ALM-PANEL-TEMP
2026-07-06T09:45:00+00:00,39,1942,264.3,5.05,40.11,10.49,DSYA4_L1,26.16,1,,20.49,1,0,,0,0,HYP-NORMAL,ALM-PANEL-TEMP
2026-07-06T10:00:00+00:00,40,1928,260.9,5.07,40.34,10.66,DSYA4_L1,26.42,1,,20.88,1,0,,0,0,HYP-NORMAL,ALM-PANEL-TEMP
2026-07-06T10:15:00+00:00,41,1946,263.8,5.04,40.56,10.84,DSYA4_L1,26.49,1,,20.56,1,0,,0,0,HYP-NORMAL,ALM-PANEL-TEMP
2026-07-06T10:30:00+00:00,42,1960,266.1,5.02,40.78,11.01,DSYA7_L1,26.95,1,,21.2,1,0,,0,0,HYP-NORMAL,ALM-PANEL-TEMP
