ts,seq,i_ph_max,i_n,thd_i_mean,t_low_c,td_margin_k,worst_point,worst_dt_c,max_k_ratio,min_ttl_h,target_dt_c,target_k_ratio,q_any,dq_codes,pd_pps,risk_score,risk_mode,alarms
2026-01-05T00:15:00+00:00,1,453.5,79,7.46,4.29,-1.71,DSYA6_L1,1.68,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T00:30:00+00:00,2,443.5,77.5,7.48,4.09,-1.71,DSYA4_L1,2.11,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T00:45:00+00:00,3,435.3,76.2,7.49,3.9,-1.71,DSYA4_L1,1.71,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T01:00:00+00:00,4,422,74,7.52,3.73,-1.71,DSYA4_L3,1.8,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T01:15:00+00:00,5,413,72.7,7.53,3.57,-1.71,DSYA7_L1,1.72,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T01:30:00+00:00,6,405.1,71.5,7.54,3.44,-1.71,DSYA7_L1,2.02,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T01:45:00+00:00,7,398.5,70.7,7.56,3.33,-1.71,DSYA1_L1,1.63,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T02:00:00+00:00,8,391.4,69.3,7.57,3.23,-1.71,DSYA7_L1,1.61,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T02:15:00+00:00,9,389.4,69,7.57,3.16,-1.71,GIRIS_L1,1.63,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T02:30:00+00:00,10,388,68.6,7.57,3.11,-1.71,DSYA2_L1,1.65,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T02:45:00+00:00,11,387.4,68.8,7.57,3.07,-1.71,DSYA7_L1,1.52,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T03:00:00+00:00,12,384.6,68.4,7.58,3.06,-1.71,DSYA1_L1,1.54,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T03:15:00+00:00,13,380.5,67.7,7.58,3.07,-1.71,DSYA4_L1,1.54,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T03:30:00+00:00,14,378.7,67.3,7.59,3.11,-1.71,DSYA7_L1,1.65,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T03:45:00+00:00,15,377.5,67.3,7.59,3.16,-1.71,DSYA1_L1,1.56,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T04:00:00+00:00,16,379,67.5,7.59,3.23,-1.71,DSYA3_L1,1.56,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-01-05T04:15:00+00:00,17,386.7,68.8,7.57,3.33,-1.71,DSYA3_L1,1.6,1,,,,0,,0,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
