ts,seq,i_ph_max,i_n,thd_i_mean,t_low_c,td_margin_k,worst_point,worst_dt_c,max_k_ratio,min_ttl_h,target_dt_c,target_k_ratio,q_any,pd_pps,risk_score,risk_mode,alarms
2026-07-06T00:15:00+00:00,1,637.6,108,7.17,36.75,8.06,DSYA4_L1,4.27,1,,-0.11,1,0,0,0,HYP-NORMAL,
2026-07-06T00:30:00+00:00,2,623.5,106,7.19,36.6,7.97,DSYA4_L1,5.64,1,,-0.09,1,0,0,0,HYP-NORMAL,
2026-07-06T00:45:00+00:00,3,612.1,104.4,7.21,36.47,7.88,DSYA4_L1,5.29,1,,0.32,1,0,0,0,HYP-NORMAL,
2026-07-06T01:00:00+00:00,4,593.4,101.4,7.24,36.35,7.79,DSYA4_L1,5.18,1,,0.18,1,0,0,0,HYP-NORMAL,
2026-07-06T01:15:00+00:00,5,580.7,99.7,7.26,36.24,7.72,DSYA4_L1,4.97,1,,0.16,1,0,0,0,HYP-NORMAL,
2026-07-06T01:30:00+00:00,6,569.6,98.1,7.28,36.14,7.66,DSYA7_L1,5.14,1,,0.48,1,0,0,0,HYP-NORMAL,
2026-07-06T01:45:00+00:00,7,560.3,96.9,7.29,36.06,7.61,DSYA3_L1,4.64,1,,0.18,1,0,0,0,HYP-NORMAL,
2026-07-06T02:00:00+00:00,8,550.3,95.1,7.31,35.99,7.56,DSYA7_L1,4.59,1,,-0,1,0,0,0,HYP-NORMAL,
2026-07-06T02:15:00+00:00,9,547.5,94.6,7.31,35.94,7.53,DSYA3_L1,4.39,1,,0.17,1,0,0,0,HYP-NORMAL,
2026-07-06T02:30:00+00:00,10,545.6,94.3,7.32,35.9,7.5,DSYA3_L1,4.27,1,,-0.04,1,0,0,0,HYP-NORMAL,
2026-07-06T02:45:00+00:00,11,544.7,94.5,7.32,35.88,7.49,DSYA7_L1,4.31,1,,0.19,1,0,0,0,HYP-NORMAL,
2026-07-06T03:00:00+00:00,12,540.8,94,7.33,35.87,7.48,DSYA3_L1,4.29,1,,0.02,1,0,0,0,HYP-NORMAL,
2026-07-06T03:15:00+00:00,13,535,92.9,7.33,35.88,7.49,DSYA4_L1,4.26,1,,0.3,1,0,0,0,HYP-NORMAL,
2026-07-06T03:30:00+00:00,14,532.5,92.5,7.34,35.9,7.5,DSYA7_L1,4.33,1,,0.32,1,0,0,0,HYP-NORMAL,
2026-07-06T03:45:00+00:00,15,530.8,92.4,7.34,35.94,7.53,DSYA3_L1,4.09,1,,0.51,1,0,0,0,HYP-NORMAL,
2026-07-06T04:00:00+00:00,16,532.9,92.7,7.34,35.99,7.56,DSYA3_L1,4.2,1,,0.36,1,0,0,0,HYP-NORMAL,
2026-07-06T04:15:00+00:00,17,543.7,94.5,7.32,36.06,7.61,DSYA3_L1,4.23,1,,0.01,1,0,0,0,HYP-NORMAL,
2026-07-06T04:30:00+00:00,18,550.1,95.2,7.31,36.14,7.66,DSYA3_L1,4.2,1,,-0.03,1,0,0,0,HYP-NORMAL,
2026-07-06T04:45:00+00:00,19,561.7,97,7.29,36.24,7.72,DSYA4_L1,4.29,1,,-0.29,1,0,0,0,HYP-NORMAL,
