ts,seq,i_ph_max,i_n,thd_i_mean,t_low_c,td_margin_k,worst_point,worst_dt_c,max_k_ratio,min_ttl_h,target_dt_c,target_k_ratio,q_any,dq_codes,pd_pps,risk_score,risk_mode,alarms
2026-04-06T00:15:00+00:00,1,511.5,88.3,7.37,14.52,-1.69,DSYA6_L1,2.01,1,,,,0,,2.09,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T00:30:00+00:00,2,500.2,86.7,7.39,14.34,-1.69,DSYA4_L1,2.6,1,,,,0,,2.29,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T00:45:00+00:00,3,491,85.2,7.4,14.16,-1.69,DSYA4_L1,2.56,1,,,,0,,2.04,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T01:00:00+00:00,4,476.1,82.8,7.43,14.01,-1.69,DSYA6_L1,2.43,1,,,,0,,2.1,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T01:15:00+00:00,5,465.9,81.5,7.45,13.87,-1.69,DSYA4_L1,2.13,1,,,,0,,2.04,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T01:30:00+00:00,6,457,80.1,7.46,13.75,-1.69,DSYA7_L1,2.16,1,,,,0,,2,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T01:45:00+00:00,7,449.5,79.1,7.47,13.64,-1.69,DSYA7_L1,2.28,1,,,,0,,2.25,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T02:00:00+00:00,8,441.5,77.6,7.49,13.56,-1.69,DSYA3_L1,2.29,1,,,,0,,2.15,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T02:15:00+00:00,9,439.2,77.2,7.49,13.49,-1.69,DSYA6_L1,1.9,1,,,,0,,2.22,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T02:30:00+00:00,10,437.7,76.9,7.49,13.44,-1.69,DSYA7_L1,2.08,1,,,,0,,2.02,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T02:45:00+00:00,11,436.9,77,7.49,13.41,-1.69,DSYA3_L1,2.31,1,,,,0,,2.57,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T03:00:00+00:00,12,433.8,76.6,7.5,13.4,-1.69,DSYA7_L1,2.11,1,,,,0,,2.08,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T03:15:00+00:00,13,429.2,75.8,7.51,13.41,-1.69,DSYA4_L1,1.92,1,,,,0,,2.07,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T03:30:00+00:00,14,427.2,75.4,7.51,13.44,-1.69,DSYA6_L1,1.74,1,,,,0,,2.09,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T03:45:00+00:00,15,425.8,75.4,7.51,13.49,-1.69,DSYA3_L1,1.95,1,,,,0,,2.27,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T04:00:00+00:00,16,427.5,75.6,7.51,13.56,-1.69,DSYA3_L1,1.95,1,,,,0,,2.08,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T04:15:00+00:00,17,436.2,77,7.49,13.64,-1.69,DSYA4_L2,2.02,1,,,,0,,2.3,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T04:30:00+00:00,18,441.3,77.7,7.49,13.75,-1.69,DSYA7_L1,1.95,1,,,,0,,2.32,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T04:45:00+00:00,19,450.6,79.1,7.47,13.87,-1.69,DSYA7_L1,1.94,1,,,,0,,2.05,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T05:00:00+00:00,20,458.6,80.2,7.46,14.01,-1.69,DSYA4_L1,2.18,1,,,,0,,2.48,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T05:15:00+00:00,21,490.3,85.4,7.41,14.16,-1.69,DSYA4_L1,2.2,1,,,,0,,2.19,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T05:30:00+00:00,22,522.8,90.7,7.35,14.34,-1.69,DSYA4_L1,2.4,1,,,,0,,2.15,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T05:45:00+00:00,23,563.5,97.5,7.29,14.52,-1.69,DSYA4_L1,2.59,1,,,,0,,2.16,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T06:00:00+00:00,24,592,101.1,7.24,14.72,-1.69,DSYA4_L1,2.85,1,,,,0,,2.09,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T06:15:00+00:00,25,698.3,116.9,7.07,14.94,-1.69,DSYA4_L1,2.97,1,,,,0,,2.23,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T06:30:00+00:00,26,804.3,131,6.89,15.17,-1.69,DSYA4_L1,4.03,1,,,,0,,2.04,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T06:45:00+00:00,27,909.9,145.5,6.72,15.41,-1.69,DSYA4_L1,5.59,1,,,,0,,2.29,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T07:00:00+00:00,28,1018,158.8,6.54,15.66,-1.68,DSYA4_L1,6.94,1,,,,0,,2.33,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T07:15:00+00:00,29,1120,171.6,6.37,15.92,-1.68,DSYA4_L1,9.19,1,,,,0,,2.02,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T07:30:00+00:00,30,1234,186.1,6.19,16.19,-1.62,DSYA4_L1,11.38,1,,,,0,,2.1,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T07:45:00+00:00,31,1333,198.5,6.03,16.46,-1.53,DSYA4_L1,13.26,1,,,,0,,2.1,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T08:00:00+00:00,32,1433,212.4,5.87,16.75,-1.44,DSYA4_L1,15.83,1,,,,0,,2.24,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T08:15:00+00:00,33,1472,216.8,5.81,17.03,-1.35,DSYA4_L1,18.22,1,,,,0,,2.27,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T08:30:00+00:00,34,1499,219.3,5.77,17.33,-1.25,DSYA4_L1,19.51,1,,,,0,,2.14,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T08:45:00+00:00,35,1531,222.4,5.71,17.62,-1.15,DSYA4_L1,20.89,1,,,,0,,2.1,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T09:00:00+00:00,36,1572,228.1,5.65,17.91,-1.05,DSYA4_L1,21.36,1,,,,0,,2.16,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T09:15:00+00:00,37,1570,227.6,5.65,18.21,-0.95,DSYA4_L1,22.54,1,,,,0,,2.13,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T09:30:00+00:00,38,1564,226.6,5.66,18.5,-0.84,DSYA4_L1,22.73,1,,,,0,,2.67,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
2026-04-06T09:45:00+00:00,39,1558,226.3,5.67,18.79,-0.74,DSYA4_L1,22.85,1,,,,0,,2.25,47,HYP-CONDENSE,ALM-DEW-WARN;ALM-DEW-ALM
