step,i_a,dt_c,k,tau_s,excited
0,200.000000000,0.515944120,0.000000000000e+00,900.000000000,0
1,209.810469385,0.998613448,0.000000000000e+00,900.000000000,0
2,219.578928833,1.502011945,6.980635655865e-04,21600.000000000,1
3,229.263548302,2.027047597,8.499278850549e-04,21600.000000000,1
4,238.822856765,2.574290649,1.247039479439e-03,21600.000000000,1
5,248.215919795,3.143956208,1.700457359969e-03,21600.000000000,1
6,257.402514855,3.735890664,2.115393542645e-03,21600.000000000,1
7,266.343303533,4.349562357,2.466884479078e-03,21600.000000000,1
8,275.000000000,4.984056809,2.757447014905e-03,21600.000000000,1
9,283.335534953,5.638076810,2.996995180310e-03,21600.000000000,1
10,291.314214351,6.309947514,3.195750284041e-03,21600.000000000,1
11,298.901872265,6.997626652,1.401262691568e-03,8984.434838420,1
12,306.066017178,7.698719847,6.212477412197e-04,3805.532887346,1
13,312.775971122,8.410500974,4.398160228486e-04,2594.836550919,1
14,319.003001044,9.129937366,3.599083080683e-04,2057.746158164,1
15,324.720441845,9.853719615,3.154126754902e-04,1755.982601663,1
16,329.903810568,10.578295636,2.873408562717e-04,1563.617947704,1
17,334.530911230,11.299908575,2.681999820502e-04,1430.929296742,1
18,338.581929877,12.014638066,2.544411043648e-04,1334.344923266,1
19,342.039519424,12.718444314,2.441681703989e-04,1261.257091607,1
20,344.888873943,13.407214381,2.362771717123e-04,1204.314481890,1
21,347.117792060,14.076810058,2.300821858580e-04,1158.942109743,1
22,348.716729206,14.723116634,2.251348022692e-04,1122.143301539,1
23,349.678838486,15.342091880,2.211295817494e-04,1091.872150396,1
24,350.000000000,15.929814541,2.178512875793e-04,1066.683039457,1
25,349.678838486,16.482531640,2.151438601451e-04,1045.524449015,1
26,348.716729206,16.996703903,2.128913713644e-04,1027.612302316,1
27,347.117792060,17.469048652,2.110058987306e-04,1012.349284653,1
28,344.888873943,17.896579533,2.094195587782e-04,999.271818504,1
