pdu;holding;input;ad;blok;tip;olcek;birim;erisim;tvoc2_pdu;merkez_kaynagi;not
0;40001;30001;device_info.map_version;device_info;uint16;;;read;;modbus-map.yaml `version`;bu dosyanin version alani
1;40002;30002;device_info.fw_version;device_info;uint16;;;read;;`fw` 'M.m.p' -> 0xMmpp;ornek: 0x0301 = v0.3.1
2;40003;30003;device_info.serial_hi;device_info;uint16;;;read;;"- (kenar merkeze gondermiyor; hep 'yok')";
3;40004;30004;device_info.serial_lo;device_info;uint16;;;read;;"- (kenar merkeze gondermiyor; hep 'yok')";
4;40005;30005;device_info.pano_type;device_info;uint16;;;read;;`panels.pano_type` (1600kVA-dahili = 1, bilinmeyen = 0);1 = 1600 kVA dahili (EK-II/14)
5;40006;30006;device_info.point_count;device_info;uint16;;;read;;`t_conn` nokta sayisi;aktif baglanti noktasi sayisi
20;40021;30021;health.uptime_h;health;uint16;;;read;;`health.uptime_s` / 3600;
21;40022;30022;health.last_sync_m;health;uint16;;;read;;merkezin panodan son veri aldigi andan beri gecen dakika;son zaman senkronundan beri dakika
22;40023;30023;health.supply_state;health;uint16;;;read;;"canli ALM-LASTGASP -> 2; aksi halde 'yok'";0=sebeke, 1=yedek, 2=son nefes
23;40024;30024;health.backup_pct;health;uint16;;;read;;`health.vbak_pct`;
24;40025;30025;health.rssi_dbm_neg;health;uint16;;;read;;-`health.rssi_dbm`;pozitif olarak: 87 => -87 dBm
25;40026;30026;health.nodes_ok;health;uint16;;;read;;`health.nodes_ok`;
26;40027;30027;health.nodes_total;health;uint16;;;read;;`health.nodes_total`;
27;40028;30028;health.heartbeat;health;uint16;;;read;;"`seq` (16 bit sarar; donarsa kenar sessiz)";"her cevrimde artar; donarsa kenar oldu"
28;40029;30029;health.buffered_msgs;health;uint16;;;read;;`health.buffered`;
29;40030;30030;health.baseline_day;health;uint16;;;read;;`health.baseline_day`;7 = taban ogrenme tamam
100;40101;30101;conn_temp.GIRIS_L1;conn_temp;int16;0.1;degC;read;;`t_conn[GIRIS_L1].t_c`;
101;40102;30102;conn_temp.GIRIS_L2;conn_temp;int16;0.1;degC;read;;`t_conn[GIRIS_L2].t_c`;
102;40103;30103;conn_temp.GIRIS_L3;conn_temp;int16;0.1;degC;read;;`t_conn[GIRIS_L3].t_c`;
103;40104;30104;conn_temp.GIRIS_N;conn_temp;int16;0.1;degC;read;;`t_conn[GIRIS_N].t_c`;
104;40105;30105;conn_temp.DSYA1_L1;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA1_L1].t_c`;
105;40106;30106;conn_temp.DSYA1_L2;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA1_L2].t_c`;
106;40107;30107;conn_temp.DSYA1_L3;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA1_L3].t_c`;
107;40108;30108;conn_temp.DSYA2_L1;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA2_L1].t_c`;
108;40109;30109;conn_temp.DSYA2_L2;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA2_L2].t_c`;
109;40110;30110;conn_temp.DSYA2_L3;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA2_L3].t_c`;
110;40111;30111;conn_temp.DSYA3_L1;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA3_L1].t_c`;
111;40112;30112;conn_temp.DSYA3_L2;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA3_L2].t_c`;
112;40113;30113;conn_temp.DSYA3_L3;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA3_L3].t_c`;
113;40114;30114;conn_temp.DSYA4_L1;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA4_L1].t_c`;
114;40115;30115;conn_temp.DSYA4_L2;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA4_L2].t_c`;
115;40116;30116;conn_temp.DSYA4_L3;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA4_L3].t_c`;
116;40117;30117;conn_temp.DSYA5_L1;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA5_L1].t_c`;
117;40118;30118;conn_temp.DSYA5_L2;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA5_L2].t_c`;
118;40119;30119;conn_temp.DSYA5_L3;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA5_L3].t_c`;
119;40120;30120;conn_temp.DSYA6_L1;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA6_L1].t_c`;
120;40121;30121;conn_temp.DSYA6_L2;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA6_L2].t_c`;
121;40122;30122;conn_temp.DSYA6_L3;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA6_L3].t_c`;
122;40123;30123;conn_temp.DSYA7_L1;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA7_L1].t_c`;
123;40124;30124;conn_temp.DSYA7_L2;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA7_L2].t_c`;
124;40125;30125;conn_temp.DSYA7_L3;conn_temp;int16;0.1;degC;read;;`t_conn[DSYA7_L3].t_c`;
150;40151;30151;conn_dt.GIRIS_L1;conn_dt;int16;0.1;K;read;;`t_conn[GIRIS_L1].dt_c`;
151;40152;30152;conn_dt.GIRIS_L2;conn_dt;int16;0.1;K;read;;`t_conn[GIRIS_L2].dt_c`;
152;40153;30153;conn_dt.GIRIS_L3;conn_dt;int16;0.1;K;read;;`t_conn[GIRIS_L3].dt_c`;
153;40154;30154;conn_dt.GIRIS_N;conn_dt;int16;0.1;K;read;;`t_conn[GIRIS_N].dt_c`;
154;40155;30155;conn_dt.DSYA1_L1;conn_dt;int16;0.1;K;read;;`t_conn[DSYA1_L1].dt_c`;
155;40156;30156;conn_dt.DSYA1_L2;conn_dt;int16;0.1;K;read;;`t_conn[DSYA1_L2].dt_c`;
156;40157;30157;conn_dt.DSYA1_L3;conn_dt;int16;0.1;K;read;;`t_conn[DSYA1_L3].dt_c`;
157;40158;30158;conn_dt.DSYA2_L1;conn_dt;int16;0.1;K;read;;`t_conn[DSYA2_L1].dt_c`;
158;40159;30159;conn_dt.DSYA2_L2;conn_dt;int16;0.1;K;read;;`t_conn[DSYA2_L2].dt_c`;
159;40160;30160;conn_dt.DSYA2_L3;conn_dt;int16;0.1;K;read;;`t_conn[DSYA2_L3].dt_c`;
160;40161;30161;conn_dt.DSYA3_L1;conn_dt;int16;0.1;K;read;;`t_conn[DSYA3_L1].dt_c`;
161;40162;30162;conn_dt.DSYA3_L2;conn_dt;int16;0.1;K;read;;`t_conn[DSYA3_L2].dt_c`;
162;40163;30163;conn_dt.DSYA3_L3;conn_dt;int16;0.1;K;read;;`t_conn[DSYA3_L3].dt_c`;
163;40164;30164;conn_dt.DSYA4_L1;conn_dt;int16;0.1;K;read;;`t_conn[DSYA4_L1].dt_c`;
164;40165;30165;conn_dt.DSYA4_L2;conn_dt;int16;0.1;K;read;;`t_conn[DSYA4_L2].dt_c`;
165;40166;30166;conn_dt.DSYA4_L3;conn_dt;int16;0.1;K;read;;`t_conn[DSYA4_L3].dt_c`;
166;40167;30167;conn_dt.DSYA5_L1;conn_dt;int16;0.1;K;read;;`t_conn[DSYA5_L1].dt_c`;
167;40168;30168;conn_dt.DSYA5_L2;conn_dt;int16;0.1;K;read;;`t_conn[DSYA5_L2].dt_c`;
168;40169;30169;conn_dt.DSYA5_L3;conn_dt;int16;0.1;K;read;;`t_conn[DSYA5_L3].dt_c`;
169;40170;30170;conn_dt.DSYA6_L1;conn_dt;int16;0.1;K;read;;`t_conn[DSYA6_L1].dt_c`;
170;40171;30171;conn_dt.DSYA6_L2;conn_dt;int16;0.1;K;read;;`t_conn[DSYA6_L2].dt_c`;
171;40172;30172;conn_dt.DSYA6_L3;conn_dt;int16;0.1;K;read;;`t_conn[DSYA6_L3].dt_c`;
172;40173;30173;conn_dt.DSYA7_L1;conn_dt;int16;0.1;K;read;;`t_conn[DSYA7_L1].dt_c`;
173;40174;30174;conn_dt.DSYA7_L2;conn_dt;int16;0.1;K;read;;`t_conn[DSYA7_L2].dt_c`;
174;40175;30175;conn_dt.DSYA7_L3;conn_dt;int16;0.1;K;read;;`t_conn[DSYA7_L3].dt_c`;
200;40201;30201;k_index.GIRIS_L1;k_index;int16;0.1;percent_of_baseline;read;;`t_conn[GIRIS_L1].k_ratio` x 100;
201;40202;30202;k_index.GIRIS_L2;k_index;int16;0.1;percent_of_baseline;read;;`t_conn[GIRIS_L2].k_ratio` x 100;
202;40203;30203;k_index.GIRIS_L3;k_index;int16;0.1;percent_of_baseline;read;;`t_conn[GIRIS_L3].k_ratio` x 100;
203;40204;30204;k_index.GIRIS_N;k_index;int16;0.1;percent_of_baseline;read;;`t_conn[GIRIS_N].k_ratio` x 100;
204;40205;30205;k_index.DSYA1_L1;k_index;int16;0.1;percent_of_baseline;read;;`t_conn[DSYA1_L1].k_ratio` x 100;
205;40206;30206;k_index.DSYA1_L2;k_index;int16;0.1;percent_of_baseline;read;;`t_conn[DSYA1_L2].k_ratio` x 100;
206;40207;30207;k_index.DSYA1_L3;k_index;int16;0.1;percent_of_baseline;read;;`t_conn[DSYA1_L3].k_ratio` x 100;
