kategori,parca,uretici_kodu,adet_dugumbasina,birim_fiyat_usd_adet1,birim_fiyat_usd_adet1000,tedarik_notu
MCU,nRF52833 BLE/802.15.4 SoC,Nordic Semiconductor nRF52833-QDAA,1,2.85,1.95,Endustriyel -40..+105 degC
Sicaklik,Hassas sicaklik sensoru (+-0.1C),Texas Instruments TMP117AIDRVR,1,1.40,0.88,WSON-6, bara temas yuzeyine yakin
Nem/Sicaklik,Ortam bagil nem ve sicaklik,Sensirion SHT40-AD1B,1,1.65,1.05,DFN-4, kapak havalandirma deliginde
Enerji Hasadi,Enerji hasat ve yonetim PMIC,Analog Devices / LTC LTC3331EUH#PBF,1,4.20,2.90,QFN-32, AC/DC hasat + buck/boost
Hasat Trafosu,Split-core minyatur CT hasat trafosu,Murata / Custom Split-Core CT (1:1000),1,2.50,1.40,Bara uzerine takilabilir
Pil,LiSOCl2 3.6V 1/2 AA pil 1200mAh,Tadiran TL-5902/S,1,3.80,2.40,-55..+85 degC (opsiyonel genisletilmis 125 degC)
Superkapasitor,Kati hal superkapasitor 100mF 3.3V,Murata DMF3Z5R5H474M3DTA0,1,1.80,1.10,Yuksek darbe akimi karsilama
Anten,2.4 GHz seramik cip anten,Johanson Technology 2450AT18A100E,1,0.45,0.22,Kompakt PCB yerlesimi
PCB,4 katmanli TG170 yuksek isi PCB,-- (yerli uretici),1,2.20,0.95,FR4 High-TG 170 degC
Govde,UL94 V-0 alev geciktirici kasa,Sabic Lexan 940A Enclosure,1,1.90,0.85,IP54 / V-0 enjeksiyon
Termal Arayuz,Yuksek iletkenli silikon ped 6W/mK,Bergquist Sil-Pad TSP 1600,1,0.50,0.25,Bara temas yastigi
Toplam,,,,,,Adet 1: ~23.25 USD/dugum; Adet 1000: ~13.95 USD/dugum
